Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
C011176nm,SCFUS2305841doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011176001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011178nm,SCFUS2305842doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011178001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011180nm,SCFUS2305843doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011180001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011182nm,SCFUS2305845doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011182001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011184nm,SCFUS2305846doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011184001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011186nm,SCFUS2305847doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011186001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011188nm,SCFUS2305848doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011188001nm,Active,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011190nm,C011190doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011190001nm,Active,3,"20 000.00","20 000.00","12 000.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,3,"20 000.00","20 000.00","12 000.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011193nm,SCFUS2305850doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011193001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011195nm,SCFUS2305851doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011195001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011198nm,SCFUS2305852doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011198001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011200nm,SCFUS2305853doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011200001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011202nm,SCFUS2305854doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011202001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011204nm,SCFUS2305855doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011204001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011206nm,SCFUS2305856doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011206001nm,Active,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011208nm,SCFUS2305857doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011208001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011210nm,SCFUS2305858doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011210001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011213nm,SCFUS2305859doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011213001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011215nm,SCFUS2305860doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011215001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011217nm,SCFUS2305861doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011217001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011219nm,SCFUS2305862doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011219001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011221nm,SCFUS2305863doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011221001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011223nm,SCFUS2305864doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011223001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011225nm,SCFUS2305865doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011225001nm,Active,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011227nm,SCFUS2305866doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C011227001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011229nm,SCFUS2305867doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011229001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011231nm,SCFUS2305868doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011231001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011233nm,SCFUS2305869doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011233001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011235nm,SCFUS2305870doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011235001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011237nm,SCFUS2305871doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011237001nm,Active,2,"15 000.00","15 000.00","12 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"15 000.00","15 000.00","12 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011239nm,SCFUS2305872doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011239001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011241nm,SCFUS2305873doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011241001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011244nm,SCFUS2305874doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011244001nm,Active,2,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011246nm,SCFUS2305875doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011246001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011291nm,SCFUS2305898doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011291001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011293nm,SCFUS2305899doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011293001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011435nm,C011435doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011435001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011437nm,SCFUS2405976doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011437001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011440nm,C011440doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011440001nm,Active,2,"11 000.00",0.00,0.00,"8 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,2,"11 000.00",0.00,0.00,"8 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011443nm,C011443doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011443001nm,Active,2,"11 000.00",0.00,0.00,"8 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,2,"11 000.00",0.00,0.00,"8 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011448nm,C011448doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011448001nm,Active,2,"11 000.00",0.00,0.00,"8 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,2,"11 000.00",0.00,0.00,"8 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011451nm,C011451doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011451001nm,Active,1,"1 000.00","1 000.00",800.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"1 000.00","1 000.00",800.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011453nm,C011453doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011453001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011689nm,SCFUS2406107doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011689001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011691nm,SCFUS2406108doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011691001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011693nm,SCFUS2406109doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011693001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011695nm,SCFUS2406110doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011695001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011697nm,SCFUS2406111doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011697001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011702nm,SCFUS2406112doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011702001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011707nm,SCFUS2406114doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011707001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011709nm,SCFUS2406115doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011709001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011711nm,SCFUS2406116doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011711001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011846nm,SCFUS2406183doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011846001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011849nm,SCFUS2406185doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011849001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011857NM,SCFUS2406197NO,USD,"99 999.00",,,,,,,,,,
,,,,,"Semir Co. ltd",Active,2,"10 000.00","10 000.00","4 000.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"10 000.00","10 000.00","4 000.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011858NM,SCFUS2406201NO,USD,"99 999.00",POOL,,,,,,,,,
,,,,,Zz Test Company 03,Active,4,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,4,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011863nm,SCFUS2406203doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011863001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011865nm,SCFUS2406205doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011865001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011868nm,SCFUS2406206doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011868001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011870nm,SCFUS2406207doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011870001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011872nm,SCFUS2406208doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011872001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011873nm,SCFUS2406209doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011873001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011876nm,SCFUS2406210doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011876001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011882nm,SCFUS2406216doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011882001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011884nm,SCFUS2406217doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C011884001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011886nm,C011886doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011886001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011888nm,SCFUS2406215doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011888001nm,Active,20,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,20,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011889nm,SCFUS2406219doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011889001nm,Active,20,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,20,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011891nm,C011891doc,USD,"100 000.00",,,,,,,,,,
,,,,,C011891001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011894nm,SCFUS2406220doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011894001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011896nm,SCFUS2406221doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011896001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011898nm,SCFUS2406222doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011898001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011900nm,SCFUS2406223doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011900001nm,Active,20,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,20,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011902nm,SCFUS2406224doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011902001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011905nm,SCFUS2406225doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011905001nm,Active,11,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,11,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011907NM,SCFUS2406226NO,USD,"999 999.00",POOL,,,,,,,,,
,,,,,Yaya Test Company 01,Active,5,"7 000.00","7 000.00","5 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"7 000.00","7 000.00","5 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011928nm,SCFUS2406238doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011928001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011930nm,SCFUS2406239,USD,"999 999.00",,,,,,,,,,
,,,,,SCFRAINIE61101,Active,1,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011933NM,SCFUS2406242,USD,"99 999.00",,,,,,,,,,
,,,,,Customer Name 3199001,Active,2,"9 000.00","9 000.00","3 200.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"9 000.00","9 000.00","3 200.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011945NM,SCFUS2406254,USD,"999 999.00",POOL,,,,,,,,,
,,,,,Zz Test Company 03,Active,5,"7 000.00","7 000.00","3 300.00","2 300.00","2 300.00",
,,,,,,,,,,,,,
,,,,,,,5,"7 000.00","7 000.00","3 300.00","2 300.00","2 300.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011946NM,SCFUS2406255,USD,"99 999.00",POOL,,,,,,,,,
,,,,,C011947NM,Active,2,"5 000.00","5 000.00",0.00,"4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"5 000.00","5 000.00",0.00,"4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011993NM,SCFUS2406288,USD,"999 999.00",,,,,,,,,,
,,,,,C011994NM,Active,1,"16 000.00","16 000.00","12 800.00",0.00,0.00,
,,,,,C003550Name,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"16 000.00","16 000.00","12 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011995NM,SCFUS2406294,USD,"999 999.00",,,,,,,,,,
,,,,,C011996NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C012010NM,SCFUS2406297,USD,"999 999.00",,,,,,,,,,
,,,,,C012011NM,Active,2,"20 000.00","10 000.00",0.00,"16 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"20 000.00","10 000.00",0.00,"16 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C012017NM,SCFUS2406302,USD,"999 999.00",,,,,,,,,,
,,,,,C012018NM,Active,2,"20 000.00","20 000.00","8 000.00","8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"20 000.00","20 000.00","8 000.00","8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C012046NM,SCFUS2406316,USD,"9 999 999.00",,,,,,,,,,
,,,,,C012045NM,Active,3,"30 000.00","30 000.00","24 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"30 000.00","30 000.00","24 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C012100NM,SCFUS2406336,USD,"99 999 999.00",,,,,,,,,,
,,,,,C012102NM,Active,1,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C012106NM,SCFUS2406337,USD,"999 999.00",,,,,,,,,,
,,,,,C012107NM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C012110NM,SCFUS2406338,USD,"999 999.00",,,,,,,,,,
,,,,,C012111NM,Active,2,"30 000.00","30 000.00","24 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"30 000.00","30 000.00","24 000.00",0.00,0.00,
