Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
C009535NM,C009535doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009536nm,Active,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009538nm,C009538doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009539nm,Active,21,"1 000.00","1 000.00",0.00,800.00,800.00,
,,,,,,,,,,,,,
,,,,,,,21,"1 000.00","1 000.00",0.00,800.00,800.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009540NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP09,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009550NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009551NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009552NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009571nm,SCFUS2305297doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009571001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009573nm,SCFUS2305298doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009573001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009665nm,C009665doc1,USD,"999 999.00",POOL,,,,,,,,,
,,,,,Yaya Test Company 10,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009678nm,SCFUS2305379No001,USD,"99 999.00",,,,,,,,,,
,,,,,Zz Test Company 04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009718NM,C009718No001,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009719,Active,2,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"5 000.00","5 000.00","4 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009723NM,C009723No001,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009724NM,Active,6,"6 000 000.00","6 000 000.00","2 400 000.00","2 400 000.00","2 400 000.00",
,,,,,,,,,,,,,
,,,,,,,6,"6 000 000.00","6 000 000.00","2 400 000.00","2 400 000.00","2 400 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009795NM,SCFUS2305338NO,USD,"999 999.00",,,,,,,,,,
,,,,,C009796NM,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009797nm,SCFUS2305339NO,USD,"999 999.00",,,,,,,,,,
,,,,,C009798nm,Active,1,"5 000.00","5 000.00",0.00,"4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00","5 000.00",0.00,"4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009799nm,SCFUS2305340doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009799001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009801nm,SCFUS2305341doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009801001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009803nm,SCFUS2305342doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009803001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009805nm,SCFUS2305343doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009805001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009807nm,SCFUS2305344doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009807001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009809nm,SCFUS2305345doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009809001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009811nm,SCFUS2305346doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009811001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009815nm,SCFUS2305348doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009815001nm,Active,1,"9 800.00","9 800.00","7 840.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"9 800.00","9 800.00","7 840.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009817nm,SCFUS2305349,USD,"8 000 000.00",,,,,,,,,,
,,,,,C009817001nm,Active,2,"30 000.00","30 000.00",0.00,"24 000.00","24 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"30 000.00","30 000.00",0.00,"24 000.00","24 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009818nm,SCFUS2305350doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009818001nm,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009821nm,SCFUS2305351doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009821001nm,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009835nm,SCFUS2305363doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009835001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009837nm,SCFUS2305364doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009837001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009869nm,SCFUS2305374doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009869001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009871nm,SCFUS2305375doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C009871001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009873NM,C009873No001,USD,"999 999.00",,,,,,,,,,
,,,,,C009874NM,Active,2,"10 000.00","5 000.00","4 000.00","4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,2,"10 000.00","5 000.00","4 000.00","4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009875NM,C009875No001,USD,"999 999.00",,,,,,,,,,
,,,,,C009664nm,Active,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009877no,SCFUS2305380doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009430nm,Active,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009884nm,SCFUS2305381doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009470nm,Active,4,"16 000.00","12 000.00","6 400.00","6 400.00","3 200.00",
,,,,,,,,,,,,,
,,,,,,,4,"16 000.00","12 000.00","6 400.00","6 400.00","3 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009887nm,SCFUS2305384doc,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,C009520nm,Active,5,"8 000.00","4 000.00","-3 200.00","6 400.00",0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","-3 200.00","6 400.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009934nm,SCFUS2305441doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009934001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009981nm,SCFUS2305467doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009981001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009987NM,SCFUS2305468No,USD,"999 999.00",,,,,,,,,,
,,,,,C009988NM,Active,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009989nm,SCFUS2305469doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009989001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009991nm,SCFUS2305470doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009991001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010060nm,SCFUS2305471doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010060001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010062nm,SCFUS2305472doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010062001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010066nm,SCFUS2305473doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010066001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010098nm,SCFUS2305475doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010098001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010100nm,SCFUS2305476doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010100001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010102nm,SCFUS2305477doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010102001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010104nm,SCFUS2305478doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010104001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010106nm,SCFUS2305479doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010106001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010128nm,SCFUS2305481doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010128001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010140nm,SCFUS2305480doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010140001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010158nm,SCFUS2305483doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010158001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010160nm,SCFUS2305484doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010160001nm,Active,4,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,4,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010172nm,SCFUS2305486doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010172001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010183nm,SCFUS2305487doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010183001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010186nm,SCFUS2305488doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010186001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010188nm,SCFUS2305489doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010188001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010190nm,SCFUS2305490doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010190001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010192nm,SCFUS2305491doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010192001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010200nm,SCFUS2305492doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010200001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010202nm,SCFUS2305494doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010202001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010204nm,SCFUS2305495doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010204001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010206nm,SCFUS2305496doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010206001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010208nm,SCFUS2305497doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010208001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010215nm,SCFUS2305493doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010215001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010292nm,SCFUS2305498doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010292001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010327nm,SCFUS2305499doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010327001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010330nm,SCFUS2305500doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010330001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010332nm,SCFUS2305501doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010332001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010338nm,SCFUS2305502doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010338001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010340nm,SCFUS2305503doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C010340001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010348nm,SCFUS2305504doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010348001nm,Active,3,"20 000.00","10 000.00",0.00,"16 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,3,"20 000.00","10 000.00",0.00,"16 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010364nm,SCFUS2305505doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010364001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010379nm,SCFUS2305506doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010379001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010382nm,SCFUS2305507doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010382001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010391nm,SCFUS2305510doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010391001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010396nm,SCFUS2305511doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010396001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010400nm,SCFUS2305512doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010400001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010402nm,SCFUS2305513doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010402001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010404nm,SCFUS2305514doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010404001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010438nm,SCFUS2305521doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010438001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010450NM,TEST1,USD,"500 000.00",,,,,,,,,,
,,,,,C010453nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010453nm,SCFUS2305525doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010453001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010455nm,SCFUS2305527doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010453nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010456nm,SCFUS2305528doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010453nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010457nm,SCFUS2305529doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010453nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010462nm,SCFUS2305532doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010462001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010468nm,SCFUS2305536doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010468001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010470nm,SCFUS2305537doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010470001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010472nm,SCFUS2305538doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010472001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010479nm,SCFUS2305544doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010479001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010488nm,SCFUS2305549doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010488001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010490nm,SCFUS2305550doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010490001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010492nm,SCFUS2305551doc,USD,"1 000 000.00",,,,,,,,,,
